Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH319_d29	29	0.00	27.71	17.44	1.22	4.26	0.00	15.48	3.24	11.83	30.19	3.34	39.29	13.18	12.12	16.56	28.96	11.11	9.85	1.44	42.66	8.86	4.33	3.93	10.43	7.83	3.14
TH328_d7	7	100.00	85.95	50.00	32.42	37.45	0.00	20.59	0.00	0.00	0.00	20.15	76.97	34.67	25.27	28.57	50.00	60.32		11.50	40.77	48.55	19.83	14.60		56.25	12.23
TH328_d7	7		88.94	50.89	32.90	33.33	0.00	71.50		100.00	0.00	21.35	83.40	50.00	25.00	23.28	42.91	37.50	24.84	15.61	58.43	51.37	17.27	25.51	100.00	47.06	31.11
TH328_d7	7	100.00	84.58	53.00	32.65	25.22	6.63	44.64	12.64	11.16	39.95	17.96	51.78	56.16	11.76	14.49	71.36	23.19	44.59	14.89	41.15	41.90	19.64	17.89	100.00	47.83	25.00
TH328_d7	7	100.00	89.06	63.38	53.45	23.99	0.00	44.44	0.00	25.05	37.66	17.98	50.00	44.70	67.21	33.03	70.85	50.00	28.44	16.06	51.01	34.38	21.57	25.00	20.15	33.33	23.33
TH328_d44	44	100.00	82.97	36.84	11.26	16.00	3.27	18.95	0.00	10.00	62.20	2.25	25.35	13.16	2.19	10.90	11.45	3.23	7.49	1.17	30.84	14.86	1.34	6.34	26.07	5.45	6.47
TH328_d44	44	100.00	89.15	42.86	22.06	12.77	3.23	26.67	0.00	30.13	25.10	2.29	41.70	10.92	2.19	10.30	29.63	5.76	4.04	0.90	28.16	13.69	0.91	5.54	36.43	3.21	6.84
TH328_d44	44	100.00	92.33	66.10	28.57	2.09	0.00	11.22	0.00	14.71	0.00	4.85	38.27	13.66	3.80	8.53	13.49	10.24	14.29	0.89	21.65	11.98	1.72	6.86	12.64	3.79	7.98
TH356_d10	10	100.00	72.14	38.99	13.97	13.45	1.92	26.46	9.96	0.00	0.00	16.06	53.91	31.34	21.69	18.71	54.08	28.37	26.57	9.48	45.65	35.38	10.57	9.64	33.14	27.27	25.32
TH356_d10	10	99.07	77.69	45.45	18.99	17.66	2.20	30.52	13.67	3.49	51.85	22.58	54.63	42.01	17.11	18.72	45.82	35.29	24.91	7.65	41.77	39.11	19.71	12.71	46.15	25.66	24.17
TH356_d10	10	100.00	78.43	46.36	18.89	18.92	1.21	27.33	9.08	10.02	21.92	20.78	56.42	39.63	24.00	22.16	45.27	31.02	13.88	9.58	50.00	35.63	11.23	9.47	18.21	38.66	28.41
TH356_d10	10	100.00	75.78	44.24	17.54	14.86	1.17	20.00	0.00	8.61	0.00	16.67	47.44	32.52	30.56	14.09	42.19	28.46	27.89	13.64	48.95	32.29	11.63	7.59	23.34	27.03	31.41
TH359_d21	21	100.00	77.45	18.11	15.00	6.49	0.00	17.62	14.19	0.00	44.79	1.99	45.85	18.49	2.20	2.74	0.00	11.65	7.23	1.45	33.33	21.78	2.33	2.85	28.45	13.22	15.34
TH359_d21	21	92.02	67.18	16.67	8.57	7.20	2.95	8.90	0.00	10.11	25.07	2.76	40.87	11.66	5.53	5.04	21.37	5.26	4.21	1.52	28.57	21.62	3.99	5.06	100.00	11.54	8.94
TH359_d21	21	79.57	66.07	18.95	16.78	7.41	0.00	14.57	14.00	0.00	22.04	1.81	24.59	19.05	3.30	16.67	100.00	0.00	15.38	1.43	15.19	28.87	3.85	2.20	0.00	10.86	11.24
TH359_d21	21	100.00	63.64	13.79	12.12	4.19	5.00	6.79	0.00	28.68	0.00	2.95	46.09	29.41	2.44	5.78	16.51	0.00	11.85	1.88	15.12	15.86	4.87	3.95	0.00	8.77	13.88
TH362_d4	4	100.00	62.81	20.76	14.15	21.28	7.11	32.56	100.00	0.00	37.50	45.37	70.92	52.00	27.27	57.14	77.02	55.56	37.21	36.99	57.59	52.42	18.46	33.85	25.00	50.00	40.48
TH362_d4	4	100.00	65.26	19.76	9.81	38.64	0.00	18.18	19.83	0.00	42.86	55.97	79.43	57.49	6.29	65.71	50.00	65.22	61.90	26.51	75.64	49.03	20.34	41.38	75.24	50.00	21.52
TH362_d4	4	99.46	66.67	27.12	14.76	20.98	0.00	29.82	66.67	11.11	44.51	26.51	79.06	59.60	11.80	60.00	61.54	41.67	54.69	23.73	73.66	67.55	25.42	42.31	100.00	51.72	42.22
TH356_d100	99	100.00	74.42	27.27	16.30	0.00	0.00	19.61	0.00	0.00		1.08	24.49	17.59	0.00	4.96	0.00	4.15	0.00	1.34	28.13	13.69	2.09	2.42	0.00	4.49	4.71
"TH356_d100 WEIRD THYMUS*"	99*	100.00*	99.90*	99.97*	98.20*	91.69*	98.68*	97.42*	100.00*	100.00*	100.00*	0.30*	21.69*	15.26*	1.94*	4.46*	7.85*	2.86*	0.00*	1.24*	15.48*	14.21*	0.63*	3.27*	38.32*	3.58*	1.48*
TH356_d100	99	100.00	67.14	18.03	9.41	7.66	0.00	0.00		0.00	0.00	1.43	14.29	8.87	2.62	6.85	16.67	2.79	0.00	0.71	22.94	4.87	1.40	1.45	15.65	1.20	7.59
"TH356_d100 no TAM ctrl*"	0*																										
TH362_d17	17	100.00	74.01	41.36	11.78	13.63	2.86	18.45	0.00	0.00	27.16	4.48	21.38	9.31	7.62	2.57	4.36	5.91	11.61	3.12	39.79	14.69	4.42	3.57	0.00	8.23	12.37
TH362_d17	17	100.00	69.44	35.68	8.56	9.06	0.00	17.54	0.00	50.00	37.18	3.75	31.71	14.35	10.43	4.93	10.07	0.00	0.00	2.29	27.62	18.99	3.89	1.19	28.49	4.33	12.50
"TH362_d17 no TAM ctrl*"	0*																										
TH362_d24	24	100.00	67.29	30.73	11.17	7.43	0.00	13.78	0.00	28.34	35.14	1.53	27.58	12.60	3.67	3.62	20.60	2.00	8.49	0.90	20.00	13.80	2.51	2.64	13.26	4.35	7.18
TH362_d24	24	100.00	75.97	36.83	11.53	11.04	1.40	13.28	0.00	10.17	5.66	1.35	20.81	13.68	1.49	4.82	23.08	6.18	0.00	1.21	29.35	16.55	2.31	3.82	16.85	4.55	6.70
"TH362_d24 no TAM ctrl*"	0*		50.00*																	0.00*			0.00*	0.00*			
TH362_d38	38	100.00	84.03	52.38	38.93	5.50	3.13	11.27	12.43	25.12	14.77	2.15	28.21	13.81	2.83	5.24	15.23	6.64	2.65	1.69	20.32	13.99	2.27	7.91	16.73	3.70	10.38
TH362_d38	38	0.00	38.71	14.51	6.21	4.56	3.50	19.62	0.00	0.00	9.53	3.93	21.99	18.36	4.59	8.81	7.17	8.49	7.22	1.25	24.35	18.09	2.01	3.49	9.23	1.83	10.42
"TH362_d38 no TAM*"	0*		100.00*		100.00*																		100.00*	100.00*	100.00*		
TH362_d52	52	100.00	80.62	55.12	23.53	13.07	0.00	25.30	0.00	14.18	6.12	2.34	24.58	9.42	3.98	2.37	18.79	8.70	6.91	1.18	27.98	14.89	1.34	2.50	11.46	6.95	6.39
TH362_d52	52	100.00	83.70	50.00	28.75	12.16	0.00	0.00	0.00	12.77	3.60	3.20	23.44	13.45	4.20	8.33	18.05	11.11	6.75	1.50	10.31	10.57	1.54	6.62	15.17	6.59	1.63
"TH362_d52 no TAM*"	0*			100.00*									100.00*	100.00*	100.00*		100.00*		100.00*	0.00*	100.00*	100.00*	100.00*	100.00*		100.00*	
