Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg	
TH319_d7	7	10.14	16.89	19.40	15.61	4.87	5.74	2.60	0.67	5.57	2.85	0.45	7.34	3.58	0.35	1.77	5.86	0.78	1.42	0.35	4.33	3.08	0.27	1.41	3.17	0.47	1.340	1.340
TH319_d7	7	6.77	13.23	16.79	12.02	3.57	5.20	1.96	1.75	4.23	0.65	0.25	4.85	3.03	0.27	0.83	2.85	0.51	1.67	0.21	4.02	2.38	0.24	0.68	1.85	0.45	1.350	1.350
TH319_d14+flu*	14*	3.36*	3.67*	4.70*	6.09*	12.97*	13.40*	13.14*	9.93*	6.04*	1.38*	1.52*	4.56*	5.46*	0.96*	1.41*	5.97*	0.91*	1.77*	1.56*	3.79*	3.05*	0.66*	1.39*	2.67*	1.07*	1.480*	1.480*
TH319_d14+flu*	14*	2.28*	2.50*	2.76*	3.72*	8.52*	6.91*	8.34*	7.77*	3.53*	1.71*	1.07*	3.60*	5.10*	0.76*	1.16*	6.45*	1.12*	2.60*	1.15*	2.19*	2.34*	0.57*	1.02*	3.06*	0.76*	1.700*	1.700*
TH319_d14	14	4.59	6.30	7.67	8.87	16.48	15.05	16.10	9.55	9.90	3.33	2.15	4.53	4.91	0.94	2.10	3.77	1.42	2.76	2.15	2.81	3.89	0.86	2.03	1.34	0.94	2.020	2.020
TH319_d14	14	3.01	4.27	5.63	7.90	14.57	10.69	12.32	10.23	7.67	1.43	1.77	3.84	3.96	0.96	1.25	3.56	1.18	3.21	1.78	3.27	3.49	0.99	1.23	1.70	1.07	2.650	2.650
TH319_d29+flu*	29*	0.15*	0.04*	0.31*	0.46*	1.64*	1.64*	1.75*	1.86*	1.12*	0.95*	1.50*	2.75*	3.05*	1.03*	1.35*	3.72*	1.36*	1.13*	1.55*	2.18*	1.65*	0.95*	1.08*	0.87*	1.25*	1.040*	1.040*
TH319_d29+flu*	29*	0.00*	0.02*	0.28*	1.04*	2.98*	3.19*	3.12*	3.08*	1.74*	1.88*	1.73*	3.25*	3.21*	1.34*	1.46*	5.17*	1.47*	1.52*	1.74*	2.60*	2.19*	1.23*	1.42*	1.85*	1.46*	1.270*	1.270*
TH319_d29	29	0.00	0.15	0.94	1.72	3.97	4.28	4.13	2.37	2.84	2.78	2.44	3.03	2.95	1.66	1.86	2.67	2.02	1.92	2.60	2.26	2.51	1.58	1.60	2.96	2.18	1.800	1.800
TH319_d29	29	0.10	0.25	0.86	1.32	2.09	2.27	2.52	2.90	3.38	0.53	1.77	2.52	2.20	1.98	1.57	2.21	1.53	2.03	1.81	1.43	2.37	1.20	1.32	2.11	1.66	2.230	2.230
TH328_d7	7	1.00	7.40	7.62	6.23	2.67	2.04	0.68	1.06	2.50	10.00	0.26	3.04	2.25	0.28	0.77	1.58	0.63	0.00	0.23	1.30	1.38	0.24	0.64	0.00	0.32	1.390	1.390
TH328_d7	7	0.00	7.05	7.29	6.96	2.82	2.65	2.07	0.00	2.22	1.67	0.27	2.35	2.20	0.36	1.16	2.96	0.80	1.61	0.24	1.78	1.83	0.28	0.98	1.27	0.34	1.350	1.350
TH328_d7	7	2.89	9.34	11.00	9.71	4.60	4.07	1.68	1.74	7.26	4.18	0.45	3.09	2.92	0.44	1.38	4.05	0.69	1.57	0.42	2.43	2.10	0.45	0.95	2.16	0.46	1.760	1.760
TH328_d7	7	5.03	16.73	19.09	17.08	2.71	2.78	1.89	1.86	5.07	1.54	0.32	3.06	3.02	0.06	1.09	6.86	0.56	1.09	0.27	1.98	1.92	0.15	1.16	1.34	0.36	0.900	0.900
TH328_d44	44	0.45	0.23	0.38	0.46	0.75	0.67	0.95	1.34	1.50	1.27	1.65	2.17	2.28	1.74	1.56	2.27	1.80	1.87	1.63	2.14	2.22	1.79	1.45	2.11	1.45	2.010	2.010
TH328_d44	44	0.74	0.77	0.77	0.68	0.64	0.59	0.75	0.83	1.56	2.43	1.83	2.35	2.29	1.83	1.65	2.43	1.91	2.03	1.78	2.06	2.41	1.88	1.54	1.40	1.81	1.900	1.900
TH328_d44	44	2.18	0.64	0.59	0.49	0.62	0.52	0.98	0.89	1.02	0.67	2.27	1.96	2.27	1.39	1.29	1.26	2.05	1.54	2.35	2.31	2.17	1.46	1.18	1.74	2.21	1.630	1.630
TH356_d10	10	7.82	16.08	19.34	19.76	13.98	13.56	10.28	4.92	10.60	0.49	0.55	6.90	3.67	0.33	1.71	3.55	1.41	2.07	0.46	4.71	3.42	0.25	1.66	1.75	0.88	2.330	2.330
TH356_d10	10	7.70	16.99	21.08	21.48	15.06	17.28	9.37	7.61	10.88	1.62	0.93	7.45	5.07	0.57	2.19	6.46	1.53	2.73	0.82	5.65	4.27	0.41	1.81	2.86	1.13	2.400	2.400
TH356_d10	10	8.59	17.34	22.00	21.33	15.91	21.46	11.16	6.83	10.58	0.73	0.77	7.32	4.92	0.50	1.85	6.45	2.16	2.45	0.74	5.66	4.07	0.38	1.69	2.91	1.19	2.640	2.640
TH356_d10	10	6.91	16.10	19.19	20.98	11.98	14.47	5.75	4.08	11.27	0.58	0.56	7.63	3.69	0.36	1.49	6.21	1.30	1.90	0.44	4.78	3.50	0.22	1.58	3.77	1.11	1.560	1.560
TH359_d21	21	2.88	2.75	2.43	2.60	3.39	2.70	3.86	4.44	1.64	0.96	1.76	2.05	2.38	0.82	1.46	2.05	1.03	1.66	1.87	2.43	2.02	0.90	1.47	1.16	1.21	1.630	1.630
TH359_d21	21	1.63	1.95	2.28	2.10	2.64	2.37	2.81	2.37	1.88	0.35	1.23	2.52	1.63	0.74	0.85	2.62	1.14	1.55	1.32	1.96	1.85	0.68	0.81	0.29	1.04	1.230	1.230
TH359_d21	21	0.93	1.12	1.53	1.43	1.35	1.18	1.51	1.00	1.82	0.37	0.66	0.61	0.84	0.42	0.30	0.18	0.34	0.78	0.64	0.79	0.97	0.47	0.40	0.67	0.72	0.890	0.890
TH359_d21	21	0.65	0.55	0.87	0.99	1.00	1.02	1.62	0.41	1.29	0.45	0.71	1.15	0.68	0.45	0.33	0.53	0.47	0.69	0.69	0.86	0.62	0.45	0.35	0.40	0.57	0.569	0.569
TH362_d4	4	5.81	11.83	5.78	5.23	0.47	0.69	0.43	0.18	1.06	0.15	0.11	3.68	1.50	0.04	0.28	3.22	0.36	0.43	0.07	2.57	1.24	0.07	0.26	1.00	0.32	0.420	0.420
TH362_d4	4	6.01	11.34	5.72	4.69	0.44	0.47	0.33	0.47	1.22	0.21	0.13	3.89	1.67	0.07	0.35	2.66	0.46	0.42	0.08	2.34	1.55	0.06	0.29	1.05	0.28	0.790	0.790
TH362_d4	4	4.96	9.96	5.90	4.20	0.37	0.42	0.29	0.27	1.17	0.16	0.08	3.20	1.51	0.07	0.40	2.86	0.36	0.64	0.06	2.24	1.51	0.06	0.26	0.57	0.29	0.450	0.450
TH356_d100	99	0.41	0.43	0.55	0.45	0.90	0.62	1.02	0.76	1.47	0.00	1.29	2.45	1.99	1.34	1.19	0.94	1.33	1.52	1.35	1.60	1.68	1.39	1.36	1.62	1.40	1.847	1.847
"TH356_d100 WEIRD THYMUS*"	99*	15.10*	6.96*	37.41*	7.21*	3.37*	7.28*	8.90*	3.42*	11.10*	2.90*	1.43*	2.49*	1.90*	1.23*	1.28*	1.91*	1.75*	1.45*	1.45*	2.39*	1.97*	1.34*	1.34*	1.67*	1.65*	1.685*	1.685*
TH356_d100	99	0.52	0.28	0.24	0.29	0.95	0.72	0.71	0.00	0.53	0.20	1.75	1.75	2.48	1.72	1.42	1.50	2.44	1.85	1.68	2.18	2.26	1.64	1.45	1.47	1.92	1.450	1.450
"TH356_d100 no TAM ctrl"	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000
TH362_d17	17	2.15	2.27	2.95	2.97	5.21	5.95	5.04	3.18	1.26	0.81	1.34	3.18	2.47	0.80	1.09	5.50	1.00	2.24	1.57	1.91	2.45	0.84	1.20	0.85	0.74	1.860	1.860
TH362_d17	17	1.31	1.80	2.41	2.22	5.19	3.16	7.47	1.46	1.30	0.78	1.41	2.87	2.09	0.82	1.42	2.68	0.71	1.10	1.62	2.39	2.58	0.93	1.09	1.79	0.88	1.600	1.600
"TH362_d17 no TAM ctrl"	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000
TH362_d24	24	3.30	3.21	3.58	3.85	3.77	4.75	4.21	2.56	1.87	0.74	3.02	3.30	3.73	2.01	1.63	6.36	2.75	2.12	3.21	3.05	2.97	1.99	1.66	3.62	2.76	1.950	1.950
TH362_d24	24	4.43	3.87	3.34	3.47	3.17	4.23	3.84	4.75	1.77	0.37	2.29	1.97	2.85	1.41	1.62	2.60	1.78	2.41	2.40	2.76	2.96	1.47	1.26	1.84	1.78	1.940	1.940
"TH362_d24 no TAM ctrl"	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000
TH362_d38	38	1.12	2.38	1.68	1.49	1.67	1.34	2.75	1.85	2.03	1.76	3.72	3.19	2.68	2.90	2.10	2.43	3.01	2.83	3.86	3.74	3.43	2.82	2.15	2.75	3.51	2.600	2.600
TH362_d38	38	0.06	0.62	2.55	3.06	7.24	6.85	5.81	4.99	3.69	0.62	2.80	2.82	3.05	1.98	1.59	4.88	2.71	1.80	2.80	2.71	2.82	1.94	1.72	1.95	2.62	1.920	1.920
"TH362_d38 no TAM"	0	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.000	0.000
TH362_d52	52	1.56	1.29	1.27	1.02	1.53	1.13	1.66	2.33	1.41	1.23	2.44	3.54	3.29	2.39	2.03	2.98	2.53	2.17	2.46	3.36	3.76	2.31	2.04	2.53	2.59	2.660	2.660
TH362_d52	52	0.52	0.92	0.84	0.80	0.30	0.24	0.14	0.26	1.41	1.11	1.31	2.73	2.38	1.60	1.44	1.33	1.35	1.63	1.40	2.23	2.46	1.69	1.51	1.45	1.67	1.718	1.718
"TH362_d52 no TAM"	0	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.03	0.00	0.00	0.10	0.00	0.04	0.00	0.02	0.01	0.01	0.01	0.00	0.05	0.000	0.000
