Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH356_d10	10	99.92	83.19	46.66	18.33	10.71	1.61	11.36	5.32	5.09	4.02	2.65	32.36	15.26	3.19	11.98	23.99	6.94	4.26	1.08	28.99	15.85	1.45	8.68	20.48	6.12	6.15
TH359_d21	21	99.14	73.38	15.59	12.94	12.31	1.72	18.50	5.31	6.19	7.96	1.77	33.78	13.42	1.94	4.23	17.04	4.59	3.68	1.03	30.94	15.61	1.24	3.87	18.12	5.35	5.74
TH359_d21	21	98.02	69.69	14.93	12.87	9.08	1.57	13.27	6.18	6.72	5.39	2.15	32.21	11.38	2.31	4.10	25.46	4.18	3.68	1.47	32.45	16.92	1.66	3.92	18.46	5.85	7.53
TH359_d21	21	97.70	72.70	19.29	13.71	7.99	3.64	19.90	3.47	6.49	7.66	2.42	36.22	14.53	2.56	5.02	23.25	6.66	6.20	1.03	25.71	20.00	1.73	3.53	19.42	6.23	8.22
TH359_d21	21	97.13	78.09	20.38	16.77	9.06	4.78	22.05	7.39	9.64	12.95	2.25	29.25	16.52	2.75	5.17	29.05	6.60	6.93	1.18	26.92	19.11	1.98	3.75	22.79	7.56	8.40
TH362_d4	4	99.06	54.76	9.05	5.21	9.09	0.59	12.65	7.21	5.38	3.42	1.28	26.90	10.25	1.23	6.27	26.34	3.06	3.37	1.07	28.44	12.65	0.97	5.19	10.30	4.17	5.19
TH362_d4	4	98.46	58.85	8.82	4.85	8.49	0.97	10.73	5.00	3.40	4.31	1.42	30.91	13.63	1.42	11.04	29.57	4.40	4.31	1.03	28.56	14.01	1.05	8.34	15.35	4.26	5.08
TH362_d4	4	98.26	57.38	11.37	6.49	7.64	1.54	11.03	5.61	3.54	4.61	1.16	31.61	13.20	1.38	15.76	37.65	4.70	5.92	1.00	29.27	16.14	1.17	11.13	22.33	4.31	6.77
TH356_d100	99	99.49	71.29	32.46	14.06	8.56	1.75	7.22	7.69	7.46	5.30	1.04	23.49	8.80	1.32	3.93	13.03	2.76	1.99	1.13	25.61	9.90	1.69	3.87	11.79	3.70	4.40
"TH356_d100 WEIRD THYMUS*"	99*	99.92	99.61	96.01	89.01	60.08	77.16	75.52	70.91	81.33	49.23	1.50	19.28	9.34	1.74	3.46	9.55	2.39	3.26	1.01	17.42	14.49	1.44	2.85	18.19	2.86	4.43
TH356_d100	99	99.80	71.82	40.52	19.06	10.10	2.17	11.38	7.14	4.28	4.72	1.53	21.16	8.83	1.83	3.55	14.31	2.77	2.25	0.92	21.37	11.86	1.28	2.58	15.03	2.95	4.58
"TH356_d100 no TAM ctrl"	0	99.62	73.40	37.50	16.00	10.50	3.32	14.40	5.41	9.27	5.07	1.20	27.20	13.70	1.29	3.57	19.50	2.76	3.76	1.12	25.50	14.30	1.43	3.48	25.90	3.54	6.77
TH362_d17	17	99.35	77.40	41.65	18.14	8.13	2.81	13.28	6.57	8.93	8.06	1.99	28.51	14.26	1.94	3.33	18.73	4.04	4.32	1.33	28.54	17.83	1.42	2.27	11.39	4.77	7.24
TH362_d17	17	99.83	74.34	36.17	17.40	13.19	1.78	19.68	5.19	7.84	10.58	1.81	27.06	11.75	2.07	4.04	31.14	4.11	4.21	1.22	27.25	20.74	1.55	3.28	22.71	3.95	6.75
"TH362_d17 no TAM ctrl"	0	99.38	72.80	34.70	16.00	10.40	1.62	15.00	8.23	5.13	5.78	0.95	26.20	12.10	0.97	3.33	14.50	2.17	3.73	0.84	26.50	14.80	1.20	3.01	15.60	3.45	7.68
TH362_d24	24	99.47	70.56	33.58	14.46	7.32	1.13	15.24	6.25	6.00	5.79	1.58	23.58	9.33	2.02	2.67	21.02	3.79	3.92	1.17	26.19	10.92	1.55	1.93	14.00	4.13	4.64
TH362_d24	24	99.59	75.13	34.64	14.08	9.59	1.04	15.18	4.16	4.68	3.47	1.28	30.10	17.80	1.75	4.14	29.88	4.03	3.75	0.93	27.54	15.15	1.31	3.36	23.73	3.72	5.35
"TH362_d24 no TAM ctrl"	0	99.33	75.70	35.40	14.80	9.98	1.36	14.50	5.31	8.68	6.40	0.91	25.00	10.60	1.35	3.40	21.20	2.45	2.88	1.01	26.70	13.40	1.33	3.09	19.90	3.06	4.55
TH362_d38	38	99.02	80.94	31.94	20.81	12.09	0.93	17.68	9.43	8.61	8.71	2.68	28.20	12.22	3.05	6.70	22.77	4.85	4.54	1.35	30.67	14.72	1.63	4.75	15.83	3.31	5.35
TH362_d38	38	99.44	81.09	36.92	21.78	8.13	1.44	16.26	4.38	6.94	5.34	3.67	27.60	13.00	3.89	6.01	29.73	6.53	6.40	1.28	26.31	13.80	1.45	3.61	21.51	3.67	5.49
"TH362_d38 no TAM"	0	99.40	76.60	26.40	17.20	9.74	1.18	13.90	5.12	6.42	4.89	1.49	29.40	14.20	1.68	5.28	17.30	3.41	3.22	1.35	23.20	18.60	1.60	5.29	23.02	3.39	5.28
TH362_d52	52	99.26	75.48	39.68	18.20	12.28	1.14	16.38	6.10	9.63	8.82	2.68	28.19	11.48	2.62	4.78	19.18	4.69	5.32	1.29	28.13	14.33	1.56	2.93	13.14	4.48	6.21
TH362_d52	52	99.39	79.72	41.53	19.96	11.13	1.97	17.54	8.09	8.41	9.03	5.09	34.12	12.91	5.91	11.37	24.21	6.50	5.63	1.70	18.30	9.77	2.35	6.88	18.07	3.41	6.28
"TH362_d52 no TAM"	0	99.33	70.90	31.40	14.20	10.10	1.36	13.40	5.99	6.36	5.61	1.79	28.93	10.70	1.94	5.99	17.92	4.79	3.53	1.38	27.70	13.90	1.49	5.24	17.60	4.27	5.86
